,combination,driver,cost,unique_coverage,value,unique_courses
3,1,Gold Koopa (Freerunning),2,15,0.13333333333333333,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', '3DS Neo Bowser City R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', '3DS Rainbow Road R/T', 'SNES Mario Circuit 1R/T', 'RMX Choco Island 2R', '3DS Cheep Cheep Lagoon T', 'SNES Donut Plains 1T', 'SNES Mario Circuit 2R/T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
5,1,Bowser (Santa),2,15,0.13333333333333333,"{'DS Waluigi Pinball T', 'MKT Merry Mountain R', 'SNES Ghost Valley 1R', 'RMX Rainbow Road 1R/T', 'Wii Maple Treeway', 'SNES Vanilla Lake 1', 'Wii Maple Treeway T', 'SNES Vanilla Lake 1R', 'N64 Frappe Snowland', 'GCN Dino Dino Jungle R/T', '3DS Shy Guy Bazaar R/T', '3DS Shy Guy Bazaar', '3DS Rainbow Road T', 'MKT Merry Mountain', ""GBA Bowser's Castle 2R""}"
10,1,Mario (Tuxedo),2,12,0.16666666666666666,"{'3DS Shy Guy Bazaar T', 'N64 Choco Mountain R/T', 'RMX Mario Circuit 1R', 'N64 Royal Raceway R', 'N64 Royal Raceway T', 'DS Airship Fortress R/T', 'RMX Mario Circuit 1T', '3DS Mario Circuit R', 'RMX Rainbow Road 2T', 'SNES Mario Circuit 3R/T', 'N64 Choco Mountain T', '3DS Shy Guy Bazaar R'}"
14,1,Fire Rosalina,2,10,0.2,"{""3DS Rosalina's Ice World R"", 'SNES Ghost Valley 1R/T', ""3DS Rosalina's Ice World"", 'RMX Rainbow Road 2R', 'DS Airship Fortress T', 'MKT Ninja Hideaway', '3DS Rainbow Road', 'SNES Ghost Valley 1', 'GBA Cheep-Cheep Island', 'MKT Ninja Hideaway R/T'}"
1,1,Mario (Hakama),2,9,0.2222222222222222,"{'SNES Mario Circuit 1', 'SNES Mario Circuit 3R', 'SNES Rainbow Road T', 'SNES Ghost Valley 1T', 'DS Waluigi Pinball', ""GBA Bowser's Castle 1T"", 'DS Waluigi Pinball R', 'RMX Mario Circuit 1R/T', 'SNES Mario Circuit 2'}"
7,1,Baby Peach (Cherub),2,9,0.2222222222222222,"{'SNES Rainbow Road R/T', 'GCN Yoshi Circuit R/T', 'RMX Choco Island 2T', 'N64 Frappe Snowland R/T', 'SNES Donut Plains 1R', 'SNES Donut Plains 2', '3DS Mario Circuit', 'SNES Donut Plains 2R', 'DS DK Pass T'}"
0,1,Toadette (Explorer),2,8,0.25,"{'Wii DK Summit', '3DS Daisy Hills', '3DS Toad Circuit', 'SNES Choco Island 2T', '3DS Rock Rock Mountain', '3DS Daisy Hills R', 'N64 Kalimari Desert R/T', 'RMX Vanilla Lake 1'}"
15,1,Luigi (Classic),2,8,0.25,"{'3DS Mario Circuit R/T', 'N64 Frappe Snowland R', 'SNES Mario Circuit 2T', ""DS Luigi's Mansion R/T"", 'GBA Sunset Wilds', 'SNES Mario Circuit 2R', ""DS Luigi's Mansion R"", 'SNES Mario Circuit 3T'}"
12,1,Green Shy Guy,2,6,0.3333333333333333,"{'N64 Kalimari Desert', 'SNES Koopa Troopa Beach 2T', 'RMX Vanilla Lake 1R', 'MKT Ninja Hideaway R', 'GCN Yoshi Circuit R', 'Wii Maple Treeway R'}"
13,1,Builder Toad,2,6,0.3333333333333333,"{'SNES Choco Island 2R/T', 'RMX Rainbow Road 1T', 'Wii DK Summit T', 'MKT Merry Mountain T', 'N64 Royal Raceway R/T', 'RMX Choco Island 1T'}"
2,1,Captain Toad,2,4,0.5,"{'SNES Koopa Troopa Beach 2', '3DS Cheep Cheep Lagoon R/T', 'RMX Choco Island 2', 'N64 Kalimari Desert 2T'}"
6,1,Dry Bowser (Gold),2,4,0.5,"{""DS Luigi's Mansion T"", '3DS Rainbow Road R', ""GBA Bowser's Castle 2R/T"", ""3DS Rosalina's Ice World T""}"
9,1,Funky Kong,2,4,0.5,"{'3DS Cheep Cheep Lagoon', 'SNES Vanilla Lake 1T', 'GBA Cheep-Cheep Island R', 'DS DK Pass'}"
16,1,Mario (Chef),2,4,0.5,"{""DS Luigi's Mansion"", 'SNES Mario Circuit 3', 'SNES Choco Island 2R', 'RMX Mario Circuit 1'}"
4,1,Luigi (Painter),2,3,0.6666666666666666,"{'SNES Rainbow Road', 'RMX Vanilla Lake 1T', 'SNES Donut Plains 2T'}"
8,1,Dry Bowser,2,3,0.6666666666666666,"{'3DS Neo Bowser City R/T', ""GBA Bowser's Castle 1R/T"", 'DS DK Pass R/T'}"
11,1,Builder Toadette,2,3,0.6666666666666666,"{'RMX Choco Island 1R/T', '3DS Daisy Hills R/T', '3DS Daisy Hills T'}"
26,2,Shy Guy (Ninja),2,22,0.09090909090909091,"{'SNES Donut Plains 2T', 'DS Airship Fortress R', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', ""GBA Bowser's Castle 1R"", 'Wii DK Summit T', 'N64 Kalimari Desert T', 'MKT Ninja Hideaway R', '3DS Neo Bowser City T', 'Wii DK Summit R', 'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'SNES Choco Island 2T', 'MKT Ninja Hideaway T', ""DS Luigi's Mansion"", 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', ""GBA Bowser's Castle 1"", 'MKT Ninja Hideaway', 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
22,2,Bowser (Santa),2,16,0.125,"{'DS Waluigi Pinball T', 'N64 Royal Raceway', 'MKT Merry Mountain R', 'SNES Ghost Valley 1R', 'RMX Rainbow Road 1R/T', 'Wii Maple Treeway', 'SNES Vanilla Lake 1', 'Wii Maple Treeway T', 'SNES Vanilla Lake 1R', 'RMX Rainbow Road 2', 'N64 Frappe Snowland', 'GCN Dino Dino Jungle R/T', '3DS Shy Guy Bazaar', '3DS Rainbow Road T', 'MKT Merry Mountain', ""GBA Bowser's Castle 2R""}"
20,2,Gold Koopa (Freerunning),2,14,0.14285714285714285,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', '3DS Rainbow Road R/T', 'SNES Mario Circuit 1R/T', 'RMX Choco Island 2R', '3DS Cheep Cheep Lagoon T', 'SNES Donut Plains 1T', 'SNES Mario Circuit 2R/T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
18,2,Mario (Hakama),2,11,0.18181818181818182,"{'SNES Mario Circuit 1', 'SNES Mario Circuit 3R', 'SNES Rainbow Road T', 'SNES Mario Circuit 1R', 'SNES Ghost Valley 1T', 'DS Waluigi Pinball', ""GBA Bowser's Castle 1T"", 'SNES Mario Circuit 1T', 'DS Waluigi Pinball R', 'RMX Mario Circuit 1R/T', 'SNES Mario Circuit 2'}"
17,2,Toadette (Explorer),2,8,0.25,"{'N64 Choco Mountain T', 'Wii DK Summit', '3DS Daisy Hills', 'N64 Royal Raceway R', '3DS Rock Rock Mountain', '3DS Daisy Hills R', 'N64 Kalimari Desert R/T', 'GBA Sunset Wilds R/T'}"
